en,es,pt,fr
260,260,ø,ø
algorithm,algoritmo,algoritmo,algorithme | chaine | procédure
anaconda,ø,anaconda,anaconda | d'anaconda
app,aplicación | app,aplicativo | aplicação | app,application
apple,apple,apple,apple
applied data analytics,ø,análise de dados aplicados,applied data analytics
arcgis,arcgis,ø,ø
audacity,audacity,ø,ø
bash,bash,bash,bash
bash command line,bash command line | comandos en bash | línea de comandos en bash,bash command line | linha de comando bash,bash command line
beautiful soup,beautiful soup,beautiful soup,beautiful soup
binder,ø,binder,binder
bipartite,bipartita | bipartitas,ø,ø
bootstrap,bootstrap,bootstrap,ø
bots,ø,ø,bot | bots
bplscas,bplscas,ø,ø
british library,alemán darmstädter zeitung publicado | british library | hemeroteca digital,british library,british library
can,.podemos | .puedes | a | ayudan | can | de | debe | debemos | fácil | necesitamos | nos | para | permite | permiten | podamos | podemos | poder | podremos | podrá | podrán | podrás | podrías | posible | pude | pudiendo | pudimos | pueda | puedan | puedas | puede | pueden | puedes | sabrás | se | sepuede | será | suele | ¿puedes,can | capaz | capaz de | capazes de | consegue | consiga | consigam | consigamos | de | irá | levam | percebemos | pode | pode-se | podem | podemos | poder | poderem | poderemos | poderá | possa | possam | possamos | possível | puder | visível | é | é capaz de,accélèrent | can | carcette | connaissez | constitue | d'exécuter | d'utiliser | de | devient | devriez | doivent | est pas possible | faire | faut | génère | ont aussi l'avantage de pouvoir | permet | permettent | permettent d'économiser | permettra | permettra souvent de | peut | peuvent | possible | possible d'extraire | possible d'utiliser | possible de | pour | pourra | pourrait | pourrez | pourrons | pourront | pouvant | pouvez | pouvez-vous | pouvoir | pouvons | puisse | puissent | puissiez | qui | risque | saurez | sera | sera ainsi pas possible | sont | souhaitez | à
cascading stylesheets,cascading stylesheets,ø,ø
ccasa,ø,ccasa,ø
cells,celdas | cells | las,abaixo | cells | célula | células | células;,blocs | cells | cellules
classical languages toolkit,ø,ø,classical languages toolkit
cltk,ø,ø,cltk
code,code | codificar | código | código fuente | fuente | programa,code | codificar | comando | código | código-fonte | códigos | ficheiro correto está sendo utilizado | ficheiros | o | tempo | utilizado,code | fichier | pdf | programmation | texte | travail
code reuse,reutilizacion de código,reutilização de código,réutilisation de code
coding scheme,esquema | esquema de codificación,ø,ø
command line,comandos | command line | interfaz de la línea de comandos | línea | línea de comandos | línea de comandos. | repl | terminal de línea de comandos,comando | comandos | command line | linha | linha de comando | linha de comandos,command line | commande | ligne | ligne de commande | ligne de commande du système | line | terminal
command prompt,comandos | símbolo del sistema | teclea en el símbolo,command prompt | prompt de comando,l'invite de commande | l'invite de commandes
computer,computador | computadora | computatora | equipo | informática | informáticos | ordenador | seguridad,computador | computadores | computação | programas,disque | dur | informaticiens | informatique | informatiques | l'ordinateur | ordinateur | ordinateurs | poste | un
coordinate reference system,sistema de referencia de coordenadas | sistema de referencias,coordenadas ( src ) coordenate reference system | sistema de referência de coordenadas,ø
covert support networks,redes de apoyo,ø,ø
critical digital humanities,ø,critical digital humanities,critical digital humanities
crossfades,crossfades,ø,ø
css,css,ø,ø
csv,.csv | csv,csv,csv
d3,d3,d3,ø
database,archivo | base de datos | bases de datos | datos | documento | noticias,banco | banco de dados | bases de dados | dados,données
datetime,datetime,datação | datetime,datetime
dateutil,ø,dateutil,dateutil
dh,ø,dh,dh
digital humanities,digital humanities | humanidades digitales,digital humanities | humanidades | humanidades digitais,digital humanities | humanités numériques
