|En|Es|Pt|Fr
Lesson Goals|Objetivos de la lección|Objetivos da Lição|Objectifs de la leçon
This first lesson in our section on dealing with Online Sources is designed to get you and your computer set up to start programming .|Esta primera lección de nuestra sección sobre recursos en línea está diseñada para introducirte en el tema y preparar tu computadora para comenzar a programar .|Essa primeira lição na nossa seção sobre Fontes Online é preparada para que você e o seu computador estejam preparados para se iniciarem na programação .|Cette première leçon de notre section traitant des sources en ligne a pour but de vous préparer , vous et votre ordinateur , à commencer à programmer . Nous allons nous concentrer sur l'installation de l'environnement de développement requis .
We will focus on installing the relevant software – all free and reputable – and finally we will help you to get your toes wet with some simple programming that provides immediate results .|Nos enfocaremos en la instalación del software necesario para hacerlo –que es software libre y de buena reputación- , y finalmente te ayudaremos a dar una probadita en programación ( como dicen en inglés : “ get your toes wet ” ) , con unos programas sencillos que producen resultados inmediatos .|Iremos focar na instalação do software necessário , livre e de boa reputação . Posteriormente , iremos auxiliar na experimentação com os primeiros passos na programação , para que você tenha resultados rápidos .|( Tout ce dont vous aurez besoin est gratuit et fiable . ) Puis , à la fin de cette leçon , nous vous aiderons à compléter un premier essai avec un programme simple qui donnera des résultats immédiats .
In this opening module you will install the Python programming language , the Beautiful Soup HTML/XML parser , and a text editor .|En este módulo inicial instalarás el Lenguaje de programación Python , el Analizador sintáctico ( parser ) Beautiful Soup HTML/XML , y un editor de texto .|Neste módulo de abertura , você irá instalar a Linguagem de Programação Python , o analisador de HTML/XML Beautiful Soup , e um editor de texto .|Dans cette leçon d'introduction , vous allez installer le langage de programmation Python , l'analyseur HTML / XML Beautiful Soup et un éditeur de texte .
Screencaps provided here come from Komodo Edit , but you can use any text editor capable of working with Python .|Las capturas de pantalla que se ofrecen como ejemplo provienen del editor de texto Komodo Edit , pero puedes utilizar cualquier otro editor de texto capaz de trabajar con Python .|Os ecrãns de exemplo mostrados aqui correspondem ao Komodo Edit , mas você pode utilizar qualquer editor de texto apto a trabalhar com o Python .|Les captures d'écran fournies ici proviennent de Komodo Edit , mais vous pouvez utiliser n'importe quel éditeur de texte capable de travailler avec Python .
Here 's a list of other options : Python Editors .|Aquí hay una lista de opciones al respecto : Editores de Texto para Python .|Aqui está uma lista de outras opções : Editores Python .|Voici une liste d'autres éditeurs compatibles avec Python .
Once everything is installed , you will write your first programs , `` Hello World '' in Python and HTML .|Una vez que todo esté instalado , escribirás tu primer programa ( el clásico “ Hola Mundo ” ) en Python y HTML .|Uma vez que tudo esteja instalado , você irá escrever os seus primeiros programas , `` Olá Mundo '' em Python e HTML .|Une fois que tout sera installé , vous écrirez votre premier programme : le classique « Hello World » , en Python et HTML .
the Python Programming Language|El lenguaje de programación Python|A linguagem de programação Python|Le langage de programmation Python
The programming language we will use in this series of lessons is Python , a free , open source language .|Python fue el primer lenguaje de programación que se introdujo en Programming Historian . Es un lenguaje de programación libre y de código abierto .|A linguagem de programação que usaremos nesta série de lições é Python , uma linguagem livre e de código aberto .|Dans le cadre de cette série de leçons , nous utiliserons Python , un langage de programmation gratuit et à code ouvert .
Unless otherwise noted , we will be using throughout .|Antes de que descargues el software es necesario tomar nota de que en todas las lecciones se utilizará porque la versión anterior , , dejará de recibir actualizaciones .|A menos que seja observado o contrário , usaremos a versão daqui em diante .|À moins d'indications contraires , nous utiliserons la de Python , la version 2 n'étant plus soutenue .
Python 3|Python v.3.x|Python 3|version 3
